,id,name,categories,rating,review_count,latitude,longitude,categories_list,log_review_count,normalized_rating_restaurants,normalized_log_review_count,popularity_score,wilson_score,normalized_wilson_score,normalized_latitude,normalized_longitude
5069,dQ3zMbyZs_77rWmPxHRjkw,Dollar General,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'discountstore', 'title': 'Discount Store'}]",0.0,0,41.693073,-87.621366,"['Grocery', 'Discount Store']",0.0,0.0,0.0,0.0,1.5,0.08112449799196786,0.00871305047274199,-0.25672496250000715
5070,4zEdXD5sB0wjymIHbpem0w,Dee Liscious Berries,"[{'alias': 'desserts', 'title': 'Desserts'}]",0.0,0,41.69182336421756,-87.61795781320724,['Desserts'],0.0,0.0,0.0,0.0,1.5,0.08112449799196786,0.012234001806127003,-0.25845883214813725
5071,3t50q1piu44zSUO17sue7w,My Friends Place,"[{'alias': 'delis', 'title': 'Delis'}]",0.0,0,41.69756,-87.62048,['Delis'],0.0,0.0,0.0,0.0,1.5,0.08112449799196786,0.009628364999513514,-0.25049925000000084
5072,cBrCM8OBZyR00tBVBrWs4A,The Lunchbox CHI,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",0.0,0,41.69182336421756,-87.61795781320724,"['Food Delivery Services', 'Sandwiches']",0.0,0.0,0.0,0.0,1.5,0.08112449799196786,0.012234001806127003,-0.25845883214813725
5073,Sy8ZjqYOE62tnpf0b1qa1g,Gale Street Inn - Chicago,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.1,790,41.9699747728431,-87.762835174799,"['American', 'Cocktail Bars', 'Desserts']",6.673297967767654,0.82,0.7247095317257364,0.7532966722080154,4.086901763224181,0.6057772652322134,-0.13743682625948828,0.12747624731979937
5074,_Yx4OcyoYXTiI3xOzNgVyw,Pueblo Nuevo,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,560,41.960272,-87.76744,['Mexican'],6.329720905522696,0.9,0.6873976099302616,0.7511783269511831,4.4787234042553195,0.6852431000598138,-0.14219400842624477,0.11401364999999988
5075,2PZKcPqpD1onzrErfIbHVw,Elly's Pancake House,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.3,421,41.976706,-87.768938,['Breakfast & Brunch'],6.045005314036012,0.6599999999999999,0.656477950119184,0.6575345650834288,3.283058823529412,0.44274887786439876,-0.14374157181351785,0.13681582499999534
5076,ArFuhXxp9n0_pGlbYY8_zA,Hagen's Fish Market,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'scandinavian', 'title': 'Scandinavian'}]",4.4,342,41.96019,-87.76876,"['Seafood Markets', 'Seafood', 'Scandinavian']",5.8377304471659395,0.8800000000000001,0.6339682296730919,0.7077777607711643,4.3664739884393065,0.6624776562898995,-0.14355768243905814,0.11389987499999137
5077,XAL6po5WpRr_l7cLORbXaA,Ruk Sushi & Thai,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.7,324,41.9616898510748,-87.7553279774385,"['Thai', 'Sushi Bars']",5.783825182329737,0.74,0.6281142037588161,0.6616799426311712,3.673170731707317,0.5218679596434518,-0.12968124296439984,0.11598091836628237
5078,v7k-AvaiL5qQRpISzkKzDQ,Gorilla Sushi Jefferson Park,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",3.7,276,41.97088,-87.76323,['Sushi Bars'],5.6240175061873385,0.74,0.6107593446317812,0.6495315412422468,3.6685714285714286,0.5209351692484222,-0.13784471479449092,0.12873224999999672
